Start_Date_time,Stop_Date_time,Closest_Date_time,Lrb,Lfb,MLTrb,MLTfb,distmin,dLmin,dMLTmin,EMFb,B1b,B2b,SpecETot_lb,SpecEMax_lb,SpecEMed_lb,SpecEAvg_lb,SpecETot_ub,SpecEMax_ub,SpecEMed_ub,SpecEAvg_ub,SpecBTot_lb,SpecBMax_lb,SpecBMed_lb,SpecBAvg_lb,SpecBTot_ub,SpecBMax_ub,SpecBMed_ub,SpecBAvg_ub
2017-11-22T13:08:37,2017-11-22T13:10:03,2017-11-22T13:09:23,6.43,6.34,10.39,10.4,0.11,0.1,0.01,296.0,0.0,95.0,13.9,0.143,2.34e-05,0.000827,0.707,0.0206,5.32e-06,9.81e-05,0.0202,9.19e-05,4.09e-08,1.21e-06,0.000359,3.31e-05,1.71e-09,4.97e-08
2017-11-22T22:46:28,2017-11-22T22:47:46,2017-11-22T22:46:55,5.71,5.87,10.24,9.59,0.98,-0.16,0.65,0.0,0.0,7.0,0.104,0.0277,3e-08,6.2e-06,0.0735,0.00586,1.68e-09,1.02e-05,0.000179,3.61e-05,2.3e-10,1.07e-08,3.04e-05,3.57e-06,8.37e-11,4.22e-09
2017-11-24T00:07:33,2017-11-24T00:08:41,2017-11-24T00:08:06,5.66,5.62,8.98,9.17,0.3,0.05,0.21,168.0,0.0,0.0,0.00489,0.000244,2.01e-08,5.13e-07,0.0151,0.00381,6.26e-08,3.67e-06,4.08e-06,2.15e-07,1.42e-10,4.28e-10,1.04e-05,1.28e-06,1.01e-10,2.52e-09
2017-11-24T08:33:42,2017-11-24T08:34:46,2017-11-24T08:34:17,5.58,5.44,9.1,8.46,0.94,0.15,0.64,288.0,0.0,59.0,0.189,0.00629,9.36e-07,1.13e-05,0.0629,0.00213,1.35e-07,8.7e-06,0.000693,6.71e-05,3.05e-09,4.14e-08,8e-05,2.21e-06,2.63e-10,1.11e-08
2017-11-25T01:59:25,2017-11-25T02:01:03,2017-11-25T02:00:19,4.83,4.7,7.95,7.35,0.76,0.13,0.6,308.0,0.0,0.0,0.00196,0.000126,7.95e-10,1.17e-07,0.00482,0.000191,6.2e-10,7e-07,2.58e-06,1.31e-08,8.92e-11,1.54e-10,1.26e-06,3.98e-08,7.33e-11,1.83e-10
2017-11-25T22:01:37,2017-11-25T22:03:03,2017-11-25T22:02:30,5.86,5.56,9.32,9.83,0.82,0.3,0.51,295.0,0.0,23.0,0.0306,0.00482,4.33e-09,1.82e-06,0.0283,0.000607,1.38e-09,3.92e-06,1.48e-05,4.85e-07,1.33e-10,8.83e-10,1.48e-05,3.62e-06,8.14e-11,2.05e-09
2017-11-28T03:52:56,2017-11-28T03:54:09,2017-11-28T03:53:37,5.72,5.69,9.17,8.51,0.99,0.04,0.66,432.0,0.0,63.0,0.0424,0.00438,9.42e-08,2.53e-06,0.00793,0.000663,6.07e-09,1.09e-06,0.000242,2.54e-05,3.09e-10,1.44e-08,1.77e-05,1.3e-06,9.53e-11,2.44e-09
2017-11-28T14:50:23,2017-11-28T14:51:51,2017-11-28T14:51:30,6.19,5.77,10.65,11.01,0.73,0.42,0.36,408.0,0.0,39.0,1.45,0.00839,3.61e-05,8.64e-05,0.162,0.0048,5.11e-07,2.24e-05,0.00436,2.76e-05,1.04e-07,2.6e-07,0.000293,2.11e-05,5.45e-10,4.05e-08
2017-11-29T05:45:50,2017-11-29T05:47:09,2017-11-29T05:46:47,5.07,5.1,8.32,8.39,0.1,-0.03,0.07,416.0,0.0,0.0,0.00612,2.3e-05,5.94e-08,3.65e-07,6.48e-06,5.15e-08,5.96e-10,8.97e-10,0.000305,1.36e-06,4.57e-10,1.82e-08,5.63e-07,8.53e-10,7.5e-11,7.79e-11
2017-12-02T06:36:50,2017-12-02T06:38:03,2017-12-02T06:37:47,5.44,5.37,8.65,8.55,0.16,0.07,0.1,360.0,0.0,19.0,0.00935,0.000684,8.39e-10,5.57e-07,0.0222,0.000667,1.82e-09,3.06e-06,1.45e-05,6.47e-08,1.06e-10,8.68e-10,1.63e-06,3.69e-08,7.99e-11,2.25e-10
2017-12-03T00:02:02,2017-12-03T00:03:46,2017-12-03T00:03:09,4.79,4.55,7.48,6.77,0.9,0.24,0.66,220.0,0.0,15.0,3.27e-05,5.03e-08,6.62e-10,3.72e-09,2.93e-06,3.57e-09,5.74e-10,7.73e-10,9.36e-07,4.12e-10,9.55e-11,1.07e-10,2.86e-07,1.1e-10,7.48e-11,7.53e-11
2017-12-03T09:31:03,2017-12-03T09:32:07,2017-12-03T09:31:57,5.54,5.52,8.51,8.4,0.16,0.02,0.11,296.0,0.0,0.0,0.00409,2.16e-05,8.17e-10,2.44e-07,3.22e-05,4.57e-08,5.8e-10,4.46e-09,7.65e-05,5.8e-07,1.29e-10,4.56e-09,5.92e-07,1.54e-10,8.03e-11,8.19e-11
2017-12-05T00:36:08,2017-12-05T00:37:22,2017-12-05T00:36:57,5.58,5.62,9.89,9.12,1.13,-0.04,0.71,288.0,0.0,0.0,0.00985,0.000568,1.08e-07,7.29e-07,0.0115,0.00131,1.98e-08,1.98e-06,5.4e-05,4.34e-06,5.33e-10,4e-09,3.13e-05,2.59e-06,1.07e-10,5.36e-09
2017-12-05T07:27:37,2017-12-05T07:28:41,2017-12-05T07:28:33,5.74,5.71,8.93,8.64,0.43,0.03,0.28,360.0,0.0,3.0,0.159,0.0206,3.4e-07,9.49e-06,0.0889,0.014,4.46e-09,1.23e-05,0.000509,7.02e-05,1.38e-09,3.04e-08,5.94e-05,4.69e-05,8.7e-11,8.23e-09
2017-12-08T06:43:02,2017-12-08T06:44:22,2017-12-08T06:44:07,4.9,4.75,7.75,8.61,1.09,0.15,0.86,360.0,0.0,51.0,0.108,0.0127,2.92e-08,6.47e-06,0.0295,0.00248,8.3e-10,4.17e-06,3.99e-05,5.87e-07,1.74e-10,2.38e-09,4.07e-06,3.57e-07,7.76e-11,5.74e-10
2017-12-09T00:07:13,2017-12-09T00:09:40,2017-12-09T00:09:22,3.93,4.02,6.33,6.87,0.57,-0.1,0.62,144.0,0.0,0.0,5.49e-05,3.51e-07,1e-09,5.74e-09,2.82e-06,8.67e-09,5.93e-10,7.25e-10,9.38e-07,3.93e-09,8.79e-11,9.82e-11,2.8e-07,1.03e-10,7.14e-11,7.19e-11
2017-12-12T10:27:47,2017-12-12T10:28:56,2017-12-12T10:28:54,5.42,5.47,7.81,8.24,0.62,-0.04,0.43,360.0,0.0,95.0,1.46,0.0439,2.21e-07,8.69e-05,4.59,0.148,7.66e-06,0.000635,0.000133,2.79e-06,3.2e-10,7.93e-09,0.000522,7.79e-05,8.84e-10,7.23e-08
2018-02-26T18:30:50,2018-02-26T18:32:15,2018-02-26T18:31:27,5.39,5.2,6.95,6.69,0.4,0.19,0.25,427.0,0.0,0.0,0.0352,0.00203,1.87e-08,2.1e-06,0.0486,0.00472,1.68e-09,6.72e-06,1.16e-05,6.06e-08,1.16e-10,6.92e-10,2.8e-05,6.89e-06,7.74e-11,3.87e-09
2018-02-27T05:33:00,2018-02-27T05:36:09,2018-02-27T05:34:50,3.26,3.2,9.38,9.01,0.32,0.06,0.37,188.0,0.0,3.0,0.515,0.0242,2.97e-06,4.17e-05,2.42,0.0372,3.51e-05,0.000801,0.000233,2.77e-06,1.2e-09,1.89e-08,0.000244,2.68e-06,8.49e-09,8.1e-08
2018-02-28T08:28:30,2018-02-28T08:31:03,2018-02-28T08:29:56,3.53,3.52,8.95,9.35,0.37,0.01,0.4,212.0,0.0,0.0,0.00449,0.000219,1.4e-09,3.31e-07,0.00869,0.00114,7.84e-10,2.47e-06,2.85e-06,1.85e-08,7.98e-11,2.1e-10,6.3e-07,2.06e-07,7.19e-11,1.79e-10
2018-03-01T11:22:50,2018-03-01T11:24:52,2018-03-01T11:23:57,3.92,3.94,8.51,9.04,0.54,-0.03,0.52,808.0,0.0,0.0,0.000208,6.73e-06,1.56e-09,1.36e-08,3.75e-06,2.62e-07,5.73e-10,8.36e-10,5.06e-06,3.53e-07,9.13e-11,3.31e-10,3.27e-07,1.01e-09,7.15e-11,7.29e-11
2018-03-01T19:20:56,2018-03-01T19:22:28,2018-03-01T19:21:34,5.12,4.88,7.21,6.75,0.65,0.24,0.46,254.0,0.0,0.0,0.125,0.00357,3.79e-07,7.47e-06,0.019,0.000608,1.8e-09,2.63e-06,0.00171,8.93e-05,9.15e-10,1.02e-07,8.4e-05,2.8e-06,8.25e-11,1.16e-08
2018-03-04T12:10:48,2018-03-04T12:13:40,2018-03-04T12:12:22,3.29,3.27,9.07,8.97,0.09,0.02,0.1,132.0,0.0,0.0,0.00166,3.97e-06,1.52e-09,1.37e-07,2.1e-06,2.59e-08,5.72e-10,6.87e-10,2.28e-05,4.43e-08,8.5e-11,1.88e-09,2.16e-07,2.07e-10,7.01e-11,7.08e-11
2018-06-26T04:00:33,2018-06-26T04:01:51,2018-06-26T04:01:35,4.53,4.35,23.69,0.11,0.51,0.18,0.42,336.0,0.0,15.0,3.73,0.099,2.57e-06,0.000222,1.82,0.0452,3.26e-07,0.000282,0.0015,0.000147,1.8e-10,8.92e-08,0.000608,2.49e-05,8.71e-11,9.41e-08
2018-08-07T10:27:57,2018-08-07T10:28:41,2018-08-07T10:28:24,5.36,5.29,22.68,23.38,0.98,0.07,0.7,288.0,0.0,0.0,0.000142,3.34e-07,7.69e-10,8.46e-09,2.63e-05,6.18e-08,5.32e-10,3.64e-09,6.61e-06,9.62e-09,1.15e-10,3.94e-10,5.63e-07,1.29e-10,7.67e-11,7.79e-11
2018-08-07T23:06:33,2018-08-07T23:07:17,2018-08-07T23:07:16,5.29,4.8,1.48,2.21,1.06,0.49,0.73,432.0,1369.0,51.0,0.177,0.00184,1.84e-08,1.05e-05,0.00155,0.000179,7.59e-10,2.14e-07,0.00372,9.56e-05,2.86e-10,2.22e-07,4.1e-06,7.32e-07,7.81e-11,5.67e-10
2018-08-08T04:29:23,2018-08-08T04:30:31,2018-08-08T04:29:46,5.08,4.89,22.67,22.23,0.62,0.19,0.46,300.0,870.0,0.0,0.00326,1.84e-06,1.1e-07,1.94e-07,1.28e-05,5.91e-08,5.76e-10,1.78e-09,0.000129,1.04e-07,4.34e-09,7.71e-09,5.57e-07,1.8e-10,7.56e-11,7.71e-11
2018-08-08T21:49:42,2018-08-08T21:52:39,2018-08-08T21:50:53,4.39,4.08,21.92,21.58,0.48,0.31,0.34,260.0,0.0,0.0,9.15e-05,5.94e-06,7.66e-10,5.51e-09,4.25e-06,9.35e-09,5.49e-10,7.37e-10,2.42e-06,7.24e-08,8.9e-11,1.46e-10,4.23e-07,2.8e-10,7.23e-11,7.32e-11
2018-08-09T09:56:47,2018-08-09T09:57:17,2018-08-09T09:57:13,5.83,5.97,0.2,23.44,1.19,-0.15,0.76,369.0,669.0,261.0,1.72,0.0785,3.55e-07,0.000103,1.58,0.0958,6.39e-08,0.000219,2.61e-05,3.73e-06,2e-10,1.56e-09,0.000212,1.16e-05,8.4e-11,2.93e-08
2018-08-10T00:46:06,2018-08-10T00:49:31,2018-08-10T00:47:39,4.05,3.86,21.61,21.42,0.27,0.18,0.15,204.0,537.0,7.0,0.00192,8.87e-06,3.75e-08,1.3e-07,7.86e-06,4.26e-07,5.93e-10,1.62e-09,2.26e-05,3.6e-08,1.93e-10,1.53e-09,3.66e-07,1.93e-09,7.17e-11,7.54e-11
2018-08-10T04:57:23,2018-08-10T04:58:26,2018-08-10T04:58:11,5.49,5.53,0.92,0.7,0.33,-0.04,0.2,432.0,343.0,0.0,0.00185,1.41e-06,4.89e-08,1.1e-07,1.37e-05,4.68e-08,5.34e-10,1.9e-09,4.09e-05,4.32e-08,8.5e-10,2.44e-09,5.62e-07,9.04e-10,7.65e-11,7.77e-11
2018-08-11T03:42:18,2018-08-11T03:42:57,2018-08-11T03:42:23,3.7,4.04,21.15,22.11,1.03,-0.34,0.98,284.0,387.0,7.0,0.000661,5.98e-06,1.52e-08,4.73e-08,8.46e-06,3.9e-07,6.04e-10,2.18e-09,7.25e-06,2.88e-08,1.71e-10,5.19e-10,2.93e-07,1.03e-09,7.18e-11,7.56e-11
2018-08-13T01:35:50,2018-08-13T01:37:28,2018-08-13T01:36:26,4.54,4.08,21.99,21.43,0.78,0.46,0.59,276.0,323.0,0.0,0.000473,4.6e-06,3.24e-09,2.82e-08,5.2e-06,7.6e-08,5.51e-10,8.27e-10,5.6e-06,1.72e-07,1.12e-10,3.34e-10,4.64e-07,6.1e-10,7.24e-11,7.38e-11
2018-08-13T05:46:03,2018-08-13T05:47:02,2018-08-13T05:46:57,5.25,5.26,1.12,0.37,1.04,-0.01,0.77,320.0,1134.0,250.0,4.35,0.0759,6.87e-07,0.00026,0.733,0.0367,1.69e-08,0.000102,4.24e-05,1.79e-06,1.69e-10,2.53e-09,0.000297,3.05e-05,7.81e-11,4.11e-08
2018-08-13T12:02:47,2018-08-13T12:03:22,2018-08-13T12:03:16,5.91,6.21,23.07,23.58,0.86,-0.3,0.51,331.0,0.0,7.0,0.00703,0.00112,7.44e-09,4.2e-07,0.00304,0.00128,7.81e-09,4.2e-07,8.95e-06,4.81e-07,1.98e-10,5.34e-10,2.41e-06,4.31e-07,9.1e-11,3.34e-10
